Hip,Knee,Ankle,Body
150.3,110.12,92.3,171.33
143.89,86.31,86.91,164.63
141.56,83.53,86.0,164.8
141.09,83.78,82.68,165.57
140.19,83.11,83.01,166.11
139.89,85.82,82.67,167.26
139.19,86.49,82.69,168.35
140.5,96.63,82.09,173.79
143.2,102.96,83.21,174.97
153.06,121.46,85.11,176.11
158.55,126.37,89.62,173.58
164.81,140.21,96.98,174.54
166.46,142.94,98.29,174.47
166.96,144.3,90.1,174.62
165.32,141.9,88.65,175.25
164.59,135.16,78.4,173.88
162.81,131.04,73.53,173.55
158.32,124.26,68.79,175.58
155.08,118.06,65.18,175.64
151.64,114.57,64.27,177.73
149.94,113.26,63.14,178.54
149.56,122.39,69.77,176.89
150.19,125.08,72.26,176.33
155.69,145.94,85.82,173.05
158.41,151.88,90.17,172.96
165.86,167.45,109.47,172.46
167.78,171.56,113.93,172.16
165.35,162.04,125.76,174.55
164.58,160.82,126.49,174.55
153.51,125.11,105.61,178.61
151.72,117.38,94.69,174.96
147.3,99.18,91.45,169.96
144.98,93.31,88.83,168.15
146.73,90.48,81.73,163.68
145.91,88.84,78.56,162.71
146.5,93.39,78.64,164.81
147.18,95.44,79.63,165.59
146.52,98.38,79.29,167.74
145.89,99.14,76.63,168.63
155.0,119.63,83.38,171.42
159.99,126.21,85.85,170.35
166.43,138.72,92.15,171.51
166.65,141.35,95.15,172.7
173.18,144.11,89.52,168.27
177.26,144.64,91.18,165.2
174.97,132.95,69.19,160.41
170.11,129.53,66.5,163.17
168.23,124.37,60.52,162.06
165.57,121.95,60.75,163.32
155.84,110.29,59.22,167.16
150.2,105.44,57.15,170.93
149.16,103.68,58.81,171.79
149.45,103.93,59.96,171.88
157.14,118.79,66.47,172.78
160.17,124.96,68.59,172.79
162.5,139.68,84.97,176.13
161.67,144.48,92.21,179.32
163.2,151.85,110.21,177.86
164.54,156.03,115.41,176.87
163.25,148.97,117.06,178.83
163.33,142.8,114.58,178.03
151.74,108.98,97.08,172.0
148.5,100.23,89.96,168.87
142.84,85.06,81.28,165.4
141.36,82.89,79.28,165.14
144.07,83.75,79.09,162.56
143.79,83.07,79.79,162.73
147.96,86.61,80.88,160.85
149.2,88.08,81.22,160.54
153.64,94.6,82.11,159.91
153.05,95.59,83.13,161.56
160.95,110.96,77.67,163.53
162.42,114.23,83.51,164.66
169.1,131.8,89.67,166.35
173.15,138.8,94.27,165.82
166.95,139.88,91.0,172.24
163.49,138.24,89.77,174.55
159.85,129.44,68.34,173.52
158.04,128.41,68.49,174.83
152.21,121.76,61.97,177.61
151.93,121.32,61.67,177.97
145.67,114.58,61.19,179.87
143.37,110.87,59.79,179.56
149.7,118.7,65.51,178.99
152.83,121.57,66.99,177.65
159.42,140.39,76.97,178.84
162.29,145.77,80.53,179.11
166.66,160.67,99.03,176.67
167.77,163.65,106.74,176.33
167.31,164.75,117.07,175.13
166.72,166.52,118.14,173.61
167.91,153.13,123.23,178.66
164.02,145.75,123.09,178.71
157.04,117.54,106.37,170.69
158.01,111.94,99.82,166.01
152.78,94.87,82.75,161.31
150.95,90.65,77.6,160.51
149.94,91.45,77.86,161.82
149.25,90.9,77.42,162.24
150.16,94.83,76.54,163.2
150.16,96.6,75.19,164.23
151.62,103.35,75.72,166.69
152.28,106.73,76.48,168.18
155.32,119.83,81.73,173.62
155.76,123.81,86.17,175.5
166.73,132.07,90.57,168.82
170.06,138.01,94.97,168.46
161.83,133.49,81.09,174.52
158.96,131.12,78.74,175.68
153.59,117.92,64.37,175.71
152.14,113.99,71.47,174.83
148.11,104.31,61.04,173.34
145.44,99.5,64.07,173.85
145.71,99.46,61.1,174.21
145.56,99.71,60.39,174.45
147.79,112.53,66.71,179.18
148.95,118.01,68.82,178.46
159.36,140.08,86.67,179.69
165.8,146.71,89.4,177.14
169.99,160.91,114.88,179.99
170.0,163.15,119.15,178.68
170.76,158.8,119.46,178.52
169.37,156.88,118.37,178.75
160.99,137.45,116.45,177.54
159.28,130.13,115.6,175.4
152.84,106.08,97.75,167.71
154.34,101.06,91.05,162.92
148.14,89.83,78.13,161.78
147.36,86.1,75.47,160.75
141.38,86.51,72.27,165.99
140.2,91.07,71.95,169.81
142.95,100.77,79.91,174.71
151.5,116.37,87.46,176.23
160.95,127.72,89.63,173.05
160.14,130.38,74.16,174.64
161.36,126.59,65.19,171.47
157.82,117.77,63.62,171.01
156.18,112.72,65.91,170.91
157.3,126.4,71.94,176.27
161.86,145.81,86.19,179.52
171.12,171.42,105.65,175.71
166.88,159.91,117.61,177.28
156.63,124.89,108.0,174.82
154.29,94.41,91.49,160.22
149.88,85.92,79.35,159.1
148.37,89.7,79.74,162.11
152.63,97.25,77.02,162.46
159.02,114.74,86.28,165.21
167.62,130.09,91.9,167.58
172.3,141.17,92.77,167.84
163.53,135.96,77.8,174.26
153.75,123.12,69.02,178.82
142.41,108.85,65.46,177.44
144.97,108.91,65.53,179.46
150.1,123.99,72.36,177.6
157.21,146.11,89.19,174.84
158.81,161.22,110.29,168.85
157.29,152.52,120.05,170.88
152.98,120.31,102.95,177.65
147.79,96.95,95.66,169.01
146.3,86.14,83.42,163.8
146.08,88.28,79.58,164.01
152.98,94.95,78.42,161.39
157.9,102.18,78.73,158.83
167.05,117.97,79.68,159.08
162.5,124.28,78.13,167.97
161.74,124.37,65.96,168.81
156.62,115.91,59.67,169.58
150.69,112.07,59.87,173.37
150.99,113.4,63.12,173.88
160.07,134.47,76.02,177.29
164.63,155.77,94.81,176.87
166.61,162.71,111.98,175.29
163.45,150.71,116.73,178.55
156.69,113.45,101.87,167.56
154.3,93.71,92.18,158.75
155.06,93.15,85.64,157.01
154.86,99.01,86.04,159.95
157.3,103.37,76.02,162.08
165.27,128.85,84.97,167.82
170.47,138.28,93.72,168.54
161.96,137.11,79.73,176.23
152.01,126.4,68.57,179.12
142.27,108.96,62.92,178.13
135.72,99.83,59.51,176.54
140.07,104.89,62.74,177.36
150.73,122.09,74.31,178.11
162.4,153.93,102.63,176.45
166.44,162.73,113.96,175.48
167.78,158.86,129.83,178.09
159.55,115.14,101.62,165.9
152.42,96.11,90.5,162.78
150.11,91.52,85.22,161.35
149.9,90.99,84.53,161.34
149.76,91.94,83.41,161.51
150.3,92.55,82.58,161.25
150.22,92.76,82.44,161.28
149.95,92.33,81.84,161.32
149.79,92.24,81.65,161.33
149.91,92.39,81.71,161.31
150.13,92.52,82.2,161.32
150.05,92.34,81.97,161.3
150.14,92.58,82.38,161.4
150.09,92.63,82.68,161.46
150.09,92.64,82.73,161.49
150.11,92.62,82.7,161.5
150.15,92.63,82.73,161.48
150.14,92.58,82.79,161.46
150.06,92.5,82.81,161.5
150.01,92.45,82.82,161.53
149.97,92.41,82.84,161.54
149.92,92.35,82.85,161.56
149.84,92.26,82.84,161.6
149.67,92.1,82.76,161.66
149.43,91.96,82.58,161.79
149.24,91.81,82.19,161.84
149.11,91.69,81.85,161.84
149.02,91.6,81.55,161.83
148.93,91.52,81.33,161.85
148.87,91.47,81.16,161.85
148.83,91.43,81.0,161.85
148.77,91.38,80.87,161.86
148.7,91.35,80.78,161.9
148.63,91.32,80.69,161.93
148.57,91.29,80.64,161.97
148.51,91.26,80.59,162.0
148.47,91.24,80.56,162.03
148.43,91.21,80.51,162.04
