Hip,Knee,Ankle,Body
175.1,162.83,109.9,175.86
172.95,161.49,105.52,177.37
172.77,160.91,103.83,177.34
173.47,159.54,100.5,175.95
174.27,155.53,97.2,173.07
174.04,147.47,82.59,168.76
174.56,142.04,72.79,165.17
176.08,140.11,70.26,162.69
175.87,142.34,74.59,164.0
175.26,147.88,83.38,167.97
171.08,154.53,102.13,175.54
170.42,158.16,102.49,178.38
170.25,160.18,104.19,179.76
170.54,161.9,101.38,179.73
173.01,162.39,104.98,178.25
174.92,156.77,94.62,173.16
174.79,150.09,80.65,169.71
175.88,148.44,77.37,167.41
178.81,150.69,79.25,165.88
179.74,154.68,86.51,166.58
178.39,163.52,103.32,169.94
179.58,165.24,103.86,172.87
178.18,165.62,105.48,174.52
177.8,165.24,103.47,174.76
179.17,164.7,102.2,173.12
179.54,162.57,95.98,170.8
178.72,154.77,79.81,165.94
178.77,152.04,76.42,164.3
177.2,151.95,77.67,162.61
177.38,152.63,79.09,163.34
178.71,158.51,92.56,167.79
172.86,159.13,101.27,176.39
171.87,159.84,101.52,178.0
171.56,159.29,99.73,178.15
171.63,158.73,96.7,177.79
174.94,159.43,91.54,174.74
174.81,151.97,80.36,170.74
174.96,149.11,76.39,169.18
176.98,148.91,75.9,167.05
179.44,151.85,79.08,164.81
179.11,156.9,93.36,168.73
177.11,162.26,102.61,173.57
175.49,163.34,105.16,175.92
175.25,162.26,104.58,175.56
177.53,165.54,108.36,174.99
178.03,163.93,102.83,173.64
177.52,156.64,88.69,170.35
178.38,151.06,78.48,166.77
179.51,149.14,74.83,164.48
179.22,150.75,76.4,164.12
179.3,153.88,85.2,167.2
177.59,159.15,98.88,171.46
171.75,159.52,105.12,177.58
171.7,160.15,103.51,177.98
171.63,160.71,99.46,178.39
174.31,161.29,97.37,176.19
173.61,154.26,89.55,173.06
173.18,151.43,83.97,172.3
174.42,150.73,82.68,170.59
179.6,154.94,84.33,166.7
177.75,158.94,92.24,167.09
179.07,165.36,103.12,171.64
179.32,164.65,103.58,172.88
179.97,164.59,101.78,172.25
178.82,164.79,100.15,171.14
177.92,165.07,97.73,170.23
177.48,159.15,85.11,166.62
176.71,155.93,78.73,164.02
175.68,154.46,74.09,161.98
178.42,147.71,73.54,163.84
173.55,149.56,86.22,170.08
171.41,155.67,98.06,175.83
171.08,160.47,105.74,178.94
170.01,161.79,108.87,179.24
168.84,162.67,105.86,177.66
167.51,162.04,102.36,176.82
166.49,160.48,97.44,176.74
163.6,154.14,90.1,177.46
163.56,150.93,84.69,178.94
163.87,151.0,83.12,178.9
166.23,154.75,85.24,179.33
166.67,157.57,87.01,178.32
167.43,159.48,87.92,178.08
167.03,159.53,89.72,177.64
166.1,158.27,90.11,177.56
164.63,152.73,87.07,179.16
