Hip,Knee,Ankle,Body
165.6,178.9,172.69,166.14
161.05,173.62,163.88,163.99
160.84,167.54,149.74,166.42
158.05,160.44,146.81,167.21
155.3,161.39,147.27,163.89
157.94,164.33,151.63,165.35
160.24,169.72,170.63,164.84
161.05,169.22,169.24,165.59
160.87,167.36,165.6,166.5
159.23,159.72,156.86,168.62
159.53,153.01,136.55,172.02
164.9,156.67,135.47,176.23
167.5,160.04,139.55,177.28
168.28,165.54,153.16,175.48
167.2,176.1,173.78,169.18
164.24,178.44,171.69,165.0
157.1,173.65,156.65,160.15
151.49,158.06,141.55,161.52
150.48,154.01,141.41,162.58
151.89,152.1,146.94,165.05
155.37,157.38,150.94,166.09
159.96,165.19,157.43,166.54
161.26,163.29,162.46,168.7
160.39,159.94,152.99,169.54
159.52,152.66,147.08,171.36
159.6,141.84,124.02,175.2
161.2,151.06,131.75,174.36
166.97,162.87,153.27,174.75
167.29,171.2,170.36,171.82
167.6,176.61,161.74,169.34
166.06,179.25,161.54,166.43
163.62,178.5,175.15,162.88
162.04,178.78,175.11,162.61
160.79,172.72,178.47,164.34
159.65,169.09,175.86,164.95
159.99,167.54,177.0,165.95
160.6,169.37,173.01,165.49
161.42,171.15,176.41,165.62
162.23,170.23,177.21,166.8
161.99,165.53,159.75,168.75
161.99,157.34,137.06,172.17
162.93,162.6,137.92,171.17
165.03,165.98,142.44,171.91
167.17,166.54,153.11,173.52
167.15,169.33,167.93,172.28
168.22,172.32,175.65,172.11
166.91,173.22,172.57,170.18
166.31,174.98,169.09,168.7
165.74,175.46,171.09,167.9
165.21,174.12,170.03,168.08
165.75,174.29,176.57,168.52
164.63,173.72,176.92,167.62
164.99,174.28,176.24,167.71
166.46,173.64,179.18,169.39
163.22,169.91,174.64,167.9
163.51,168.04,164.17,168.95
164.3,167.19,148.21,170.27
165.79,169.05,147.69,170.87
166.31,170.47,157.82,170.8
166.55,171.6,166.25,170.69
165.29,173.73,172.37,168.64
163.21,174.43,178.46,166.03
161.33,171.18,174.71,165.47
160.72,166.18,167.97,166.58
160.76,163.16,154.75,168.06
161.26,164.23,157.54,168.33
161.88,166.31,164.89,168.16
161.88,166.89,165.88,168.0
162.16,160.87,169.92,170.72
163.23,163.44,170.29,171.02
162.28,161.62,164.33,170.65
162.58,161.96,156.07,170.97
164.12,166.64,152.05,170.32
165.97,171.43,152.58,170.13
165.01,174.63,160.6,167.54
167.21,179.09,175.41,166.73
165.28,178.66,165.31,164.61
163.17,179.63,161.86,163.35
160.73,171.75,177.09,164.39
156.91,163.3,167.82,164.23
161.55,163.08,167.71,169.19
162.81,163.84,170.15,170.35
163.84,166.89,177.11,170.01
162.85,162.93,171.18,170.75
162.39,159.59,166.58,171.74
162.63,157.72,158.03,172.4
162.11,153.84,138.27,174.14
164.79,163.46,128.48,172.14
166.56,168.82,136.29,171.58
164.56,172.05,146.93,168.18
163.98,179.43,166.08,164.27
163.36,177.06,176.18,161.88
161.63,179.38,179.06,161.93
159.65,171.75,172.59,163.44
158.65,165.72,165.82,165.21
160.27,164.54,168.5,167.64
160.88,166.24,172.63,167.53
163.13,169.0,173.07,168.38
163.57,166.06,163.63,169.88
163.29,162.89,160.24,170.89
162.48,155.92,145.77,172.9
161.88,150.72,133.17,175.12
161.59,152.75,132.92,174.83
164.2,157.78,137.85,174.38
166.48,165.99,149.77,173.49
167.03,173.44,169.28,170.38
166.04,176.62,161.32,167.62
164.74,175.99,160.44,166.55
162.91,170.72,151.87,166.94
162.32,168.19,152.81,167.68
164.55,168.89,161.8,169.63
164.69,170.77,168.68,169.0
163.68,171.85,179.27,167.55
163.1,171.33,178.9,167.33
162.6,166.45,172.97,169.0
162.54,162.72,164.63,170.23
163.12,155.5,140.58,173.44
164.13,159.15,139.62,173.83
165.01,163.99,147.88,172.77
166.4,169.47,155.49,171.61
166.76,173.2,161.46,170.51
166.5,174.01,167.12,169.6
166.78,174.93,169.45,169.31
167.82,174.04,171.64,170.51
167.19,174.07,172.29,169.95
169.3,174.44,173.37,171.97
167.12,171.47,170.87,171.18
167.29,171.08,171.34,171.42
167.52,168.43,165.94,172.64
167.33,164.45,158.64,174.48
165.42,160.19,158.43,174.37
166.83,155.5,144.9,177.54
168.71,156.28,138.49,179.4
168.93,160.9,136.59,178.01
168.62,167.82,153.82,174.55
167.75,173.95,172.83,170.99
167.91,177.09,175.43,169.39
165.37,178.49,170.08,166.11
161.69,172.31,177.1,165.38
159.82,166.96,173.85,166.07
159.51,165.68,172.3,166.61
160.38,165.86,170.06,167.24
159.58,166.21,169.96,166.07
160.53,167.78,173.96,166.2
159.94,158.94,159.05,169.65
157.73,153.61,149.57,169.71
157.93,147.91,135.93,171.82
159.78,145.93,124.37,174.72
161.89,149.64,123.87,175.92
163.72,153.47,134.48,175.59
164.87,159.55,146.32,174.7
165.32,164.93,147.0,172.89
166.04,169.48,151.47,171.27
166.28,168.72,148.74,171.46
165.85,167.65,148.1,171.17
166.48,171.14,150.01,170.65
165.88,169.23,151.03,170.83
