Hip,Knee,Ankle,Body
177.93,158.46,111.8,166.54
178.84,160.01,109.64,168.24
179.9,162.07,107.63,170.66
179.62,161.93,103.96,170.97
177.29,161.74,101.55,173.2
176.4,160.23,101.21,173.16
174.07,159.37,97.01,174.99
172.7,158.72,95.84,175.97
171.76,159.03,96.42,177.3
171.53,159.2,96.86,177.62
171.81,160.82,99.59,178.11
171.39,161.23,100.33,178.84
174.04,153.46,88.47,171.95
175.84,151.47,87.3,168.89
176.26,145.26,78.4,164.77
175.65,142.2,78.28,163.63
179.24,141.25,78.02,157.96
178.76,139.62,77.58,156.62
179.61,139.44,79.04,158.1
179.23,139.72,80.01,158.67
178.4,143.54,85.7,162.02
176.21,145.84,90.25,165.59
176.16,157.12,105.83,172.01
177.17,160.89,109.51,173.05
174.06,160.69,107.97,175.74
174.65,161.42,104.64,175.49
168.63,157.51,103.39,179.53
168.37,157.97,102.09,179.96
160.51,156.76,102.81,172.64
157.18,154.23,98.49,169.69
162.02,158.08,99.47,173.46
164.81,160.35,101.55,175.3
164.63,156.96,100.81,176.93
164.45,158.22,100.61,176.09
167.11,152.1,91.26,177.82
167.48,149.87,84.81,175.91
169.3,142.71,78.83,170.71
167.13,141.18,77.08,171.96
170.97,141.06,79.59,168.0
172.08,140.73,80.79,166.6
172.56,142.65,82.67,167.1
174.09,144.44,83.7,166.51
175.97,151.14,91.32,168.43
175.93,153.66,95.04,169.78
176.47,164.75,110.81,175.62
178.57,170.42,115.72,176.51
175.79,167.91,109.27,178.04
174.31,166.87,107.91,179.01
172.34,165.43,104.97,179.68
170.5,164.14,104.81,178.51
169.8,160.39,100.0,179.94
170.31,157.94,95.24,177.97
172.92,160.14,97.5,176.49
172.95,160.32,98.21,176.53
176.76,157.24,97.44,170.8
177.45,157.07,98.43,170.21
177.53,151.22,86.08,166.77
176.63,149.36,84.85,166.46
179.43,148.27,77.5,163.13
179.17,147.79,78.03,163.32
178.73,148.71,80.45,161.63
179.21,148.93,81.83,162.26
178.22,149.1,83.43,161.7
177.76,149.31,84.39,161.46
179.58,154.7,90.77,166.87
178.79,156.78,92.55,168.81
178.36,161.21,101.03,171.89
178.13,163.07,104.79,173.07
176.4,163.38,102.24,175.19
175.52,164.2,102.29,176.54
175.37,163.48,99.25,176.18
175.87,164.92,97.31,176.5
171.07,161.98,97.6,179.81
169.78,163.22,100.44,178.28
163.27,158.33,104.84,174.27
161.78,157.69,105.97,173.2
162.6,155.22,95.14,175.74
164.99,154.3,97.0,178.76
167.58,150.37,88.12,176.61
168.06,148.0,82.63,174.91
170.53,142.95,81.02,169.56
169.65,140.82,81.24,169.07
177.85,144.01,82.71,162.45
179.29,144.83,83.15,160.12
179.84,145.85,85.18,161.14
179.83,146.56,86.53,161.56
179.97,156.41,96.63,167.44
179.72,160.48,100.77,169.98
175.96,163.17,103.78,175.38
176.01,161.93,106.08,174.75
175.26,161.79,106.74,175.58
174.37,161.05,106.08,176.18
172.65,159.67,102.47,177.09
171.27,158.34,101.34,177.65
170.27,158.4,100.36,178.58
171.07,159.3,100.36,178.28
170.21,159.27,106.02,179.05
170.12,157.84,105.88,178.31
174.09,151.68,97.92,170.77
173.81,151.0,97.39,170.63
175.82,147.4,87.53,166.61
176.37,145.16,83.67,164.86
178.26,143.3,77.65,161.82
177.85,142.78,78.2,161.9
179.05,145.06,80.26,160.04
177.95,145.6,80.93,159.14
177.72,148.95,86.03,160.52
177.56,150.2,87.53,161.02
176.71,159.99,98.98,165.77
178.35,164.89,102.48,170.16
178.57,167.63,107.38,172.09
179.41,168.25,107.79,173.24
176.98,165.07,102.38,175.13
174.54,162.57,101.8,176.14
175.08,162.3,100.95,175.59
173.48,161.15,97.74,176.59
171.92,158.64,99.08,176.71
170.69,158.16,97.87,177.67
170.05,156.39,96.81,177.25
168.79,155.06,94.57,177.62
171.59,149.91,88.36,171.83
172.14,149.2,86.66,170.85
173.8,144.93,77.85,167.3
175.66,144.65,78.13,165.24
179.07,142.33,76.8,160.04
178.2,141.83,76.48,160.77
179.59,143.43,78.35,160.29
179.47,143.78,79.47,159.6
179.0,149.79,87.87,162.77
178.64,152.71,91.14,163.99
179.25,155.75,98.68,165.97
178.86,157.79,101.21,166.84
178.18,157.12,102.46,169.8
177.51,159.84,100.65,171.97
172.92,163.48,101.63,178.48
172.38,162.61,99.4,178.55
173.4,158.0,93.77,174.69
171.94,150.43,81.98,171.65
172.25,147.21,78.47,169.83
175.56,146.89,79.94,166.44
176.84,148.27,82.47,165.98
174.89,157.35,99.59,173.22
171.11,158.51,108.63,177.83
170.19,158.23,102.97,178.66
170.29,158.91,100.3,178.87
166.11,158.28,100.25,177.36
166.01,156.22,101.62,178.5
164.68,146.79,88.46,177.1
166.38,141.0,79.34,172.73
175.47,141.43,78.12,163.59
177.04,141.55,78.82,162.13
178.32,144.98,84.76,162.77
179.56,154.23,99.76,166.17
179.91,155.24,100.48,167.39
175.07,155.49,97.94,172.18
175.36,155.61,95.47,172.03
170.47,156.87,95.86,177.71
173.63,156.91,96.74,173.99
173.03,149.35,87.95,170.11
174.36,141.9,77.59,164.52
175.93,139.6,76.93,161.83
177.28,141.16,79.47,161.32
177.8,147.1,86.65,164.7
174.83,154.57,104.0,171.93
172.76,157.52,106.2,175.67
171.72,158.72,100.6,177.34
168.64,159.08,97.11,179.53
163.38,158.86,99.15,174.44
162.23,157.78,99.09,174.22
160.95,148.28,91.06,178.21
169.35,144.92,83.82,171.71
177.71,147.15,82.27,164.47
178.59,148.99,84.45,161.86
177.27,156.56,99.39,165.11
179.59,158.68,104.7,168.76
178.01,159.94,98.95,171.75
175.73,159.19,97.53,173.52
172.76,157.9,97.88,175.68
168.88,160.13,96.58,179.47
171.69,153.97,92.56,174.02
174.6,148.24,84.96,168.03
175.59,140.13,81.07,162.24
177.51,140.63,85.12,160.67
178.16,144.59,90.62,162.55
178.73,154.57,102.42,167.88
177.98,157.44,105.02,170.14
176.09,158.14,99.21,172.34
174.37,156.77,96.55,173.36
173.12,156.08,95.71,174.27
170.48,155.34,94.88,176.56
169.0,155.25,93.99,177.98
168.44,154.94,94.19,178.4
168.11,154.49,94.72,178.51
167.84,154.13,95.5,178.62
167.76,154.01,95.53,178.66
167.89,154.05,95.58,178.56
167.97,154.25,95.76,178.57
168.11,154.58,96.08,178.62
168.18,154.81,96.2,178.67
168.31,154.91,96.19,178.6
168.44,154.91,96.03,178.47
168.55,154.85,95.82,178.32
168.61,154.75,95.65,178.21
168.67,154.68,95.51,178.11
168.69,154.64,95.41,178.06
168.68,154.6,95.31,178.05
168.68,154.55,95.23,178.02
168.67,154.51,95.17,178.0
168.66,154.49,95.13,178.0
168.66,154.49,95.1,178.0
168.65,154.47,95.07,178.0
168.65,154.46,95.02,177.99
168.67,154.45,94.99,177.97
168.68,154.45,94.96,177.96
168.69,154.44,94.92,177.94
168.69,154.43,94.91,177.93
168.71,154.43,94.9,177.92
168.7,154.41,94.86,177.91
168.71,154.4,94.83,177.89
168.73,154.39,94.81,177.88
168.74,154.41,94.81,177.87
168.75,154.42,94.81,177.87
168.76,154.43,94.81,177.87
168.77,154.44,94.81,177.87
168.78,154.45,94.81,177.87
168.78,154.46,94.8,177.87
168.79,154.46,94.79,177.87
168.79,154.48,94.78,177.87
168.8,154.49,94.77,177.88
168.8,154.5,94.76,177.89
168.79,154.51,94.75,177.9
168.8,154.52,94.74,177.9
168.8,154.52,94.71,177.9
168.8,154.52,94.68,177.9
168.81,154.53,94.65,177.91
168.81,154.55,94.62,177.91
168.82,154.56,94.6,177.91
168.83,154.57,94.57,177.9
168.84,154.58,94.55,177.9
168.84,154.59,94.53,177.9
168.84,154.6,94.48,177.9
168.85,154.62,94.46,177.9
168.87,154.64,94.41,177.89
168.88,154.66,94.37,177.89
168.89,154.67,94.31,177.89
168.89,154.7,94.26,177.89
168.9,154.72,94.22,177.9
168.91,154.74,94.17,177.9
