Hip,Knee,Ankle,Body
155.14,107.62,72.72,168.02
158.9,120.83,74.62,171.14
164.2,139.91,86.76,174.65
167.81,155.3,110.03,179.49
167.5,146.51,113.87,176.2
152.52,112.24,99.23,173.1
150.76,88.55,80.43,159.64
146.12,81.56,78.95,159.52
150.14,87.77,79.26,158.93
154.94,92.9,81.92,157.69
160.87,103.99,79.06,159.2
166.76,125.02,88.05,164.8
166.41,134.46,86.08,169.7
160.92,127.38,73.76,171.53
157.92,121.0,72.7,171.03
151.89,115.18,60.97,174.56
152.33,118.41,63.43,176.21
159.3,140.07,79.63,178.9
163.61,159.62,97.65,174.32
161.04,166.12,113.11,168.14
165.4,155.3,114.1,177.61
160.38,124.33,98.96,170.7
150.66,96.72,84.13,163.9
149.6,90.93,78.42,161.96
152.01,99.03,81.98,164.23
155.95,103.28,69.54,163.37
164.75,119.51,77.76,163.31
166.3,124.29,76.56,163.75
162.12,125.99,70.63,169.18
157.18,116.44,80.73,170.72
150.99,108.07,65.75,172.83
148.79,101.5,61.6,171.34
151.33,121.85,72.29,179.74
160.2,141.2,87.49,179.56
166.98,158.86,109.76,177.68
167.4,157.37,111.54,179.08
165.49,143.97,109.91,176.46
150.5,108.95,94.21,171.06
145.14,92.64,75.2,166.82
142.19,88.4,70.89,166.12
144.03,95.52,75.51,167.58
152.08,101.6,74.43,165.47
151.94,110.95,87.85,171.87
158.75,123.51,84.47,172.05
158.54,128.78,72.72,174.7
158.34,122.18,69.86,173.38
154.47,111.78,62.39,171.6
155.82,109.88,65.83,170.14
154.55,125.06,73.48,178.62
162.17,150.1,92.24,177.51
166.02,166.48,105.34,173.21
166.36,159.73,116.93,176.9
157.48,126.74,105.37,175.13
151.3,96.91,88.81,163.33
148.12,86.66,78.63,159.16
149.14,89.88,77.41,160.54
151.99,95.42,72.99,161.25
155.55,106.88,83.74,166.62
164.91,130.14,91.41,169.76
167.88,135.28,88.43,169.74
162.22,135.26,75.41,175.72
160.45,128.3,71.19,174.39
149.03,113.0,64.15,178.59
148.0,111.27,63.64,178.2
151.09,123.45,71.2,178.8
156.25,145.67,88.41,174.45
160.14,161.88,107.29,169.96
159.16,149.87,125.43,173.97
158.1,129.9,114.26,177.19
151.68,99.56,92.8,165.67
150.88,89.36,82.5,159.47
152.99,89.53,76.06,156.82
157.94,96.38,78.43,156.49
159.54,102.17,79.75,157.6
166.03,117.57,85.1,160.26
166.32,125.17,79.49,164.36
158.79,122.65,71.87,170.55
156.11,115.86,62.39,170.23
152.23,112.85,61.0,173.21
147.99,112.6,66.17,176.47
156.88,130.39,74.06,178.94
166.2,157.49,94.92,177.8
168.89,166.06,114.46,175.96
165.63,151.02,116.44,179.82
155.0,87.82,80.41,153.66
154.21,87.17,79.21,153.3
155.11,93.27,80.54,155.57
160.08,112.62,79.72,162.89
168.85,133.12,87.31,167.33
176.55,142.29,96.34,164.94
163.62,135.63,82.77,172.62
159.14,128.15,75.64,173.73
149.34,114.38,69.98,178.06
139.92,102.43,64.05,179.71
144.27,104.68,67.55,176.91
152.06,125.16,78.41,179.81
162.26,152.77,100.32,176.74
166.72,162.02,113.3,176.11
165.02,151.81,125.36,179.29
153.93,116.36,104.73,172.41
148.79,96.81,90.66,167.77
148.11,88.11,85.64,161.98
147.87,91.74,85.62,162.38
148.36,101.88,79.43,169.47
178.88,151.95,104.53,167.41
161.1,148.72,99.61,176.84
162.05,135.09,74.18,175.15
152.4,120.27,68.39,177.07
142.86,107.47,64.13,178.95
145.63,109.37,66.6,179.8
155.18,140.27,81.64,173.61
157.91,159.72,103.84,168.23
163.74,166.03,113.81,170.77
163.42,141.24,108.32,176.52
159.06,109.12,90.24,162.89
154.24,94.29,83.3,158.62
154.9,89.14,96.72,155.01
159.78,96.15,96.0,155.05
166.38,104.61,89.62,154.55
168.34,119.14,85.72,158.62
169.26,125.39,81.97,161.51
153.82,123.53,70.31,175.68
155.75,118.12,66.19,172.41
148.46,110.25,63.85,174.54
144.56,107.47,68.33,177.8
148.9,112.29,68.63,176.66
153.42,124.24,76.47,178.15
161.34,146.02,94.0,179.21
162.2,155.16,110.17,175.04
167.17,149.69,104.13,177.17
159.63,111.9,99.45,164.15
156.41,88.15,86.34,154.23
154.17,83.06,80.68,154.04
153.42,87.71,80.15,155.7
156.03,96.3,78.29,159.78
162.61,117.04,85.55,164.15
164.7,128.65,93.39,168.46
154.46,130.14,79.69,177.95
154.79,123.24,65.43,175.66
155.46,112.15,62.58,171.56
149.86,105.02,61.63,173.85
140.24,107.88,64.46,175.58
149.97,130.35,76.67,173.92
159.39,155.04,102.52,172.92
161.3,160.06,101.59,171.61
162.43,149.23,125.77,177.87
148.38,104.73,105.89,172.78
147.45,89.91,88.07,164.13
152.7,84.38,80.55,155.84
149.75,86.87,84.22,159.64
149.73,87.83,93.63,161.94
157.27,110.27,86.38,165.44
160.44,127.58,82.81,171.5
161.38,129.3,68.6,171.95
154.74,121.81,59.88,174.5
146.91,113.07,60.71,178.54
143.13,109.22,62.12,179.52
148.28,119.92,68.66,178.61
157.31,147.32,84.82,173.71
159.89,166.16,107.6,167.02
159.16,159.67,112.43,168.81
155.09,129.52,112.04,179.86
147.85,97.81,96.21,168.57
145.96,86.37,80.97,162.72
146.92,86.1,76.99,160.85
148.28,93.08,79.76,163.39
150.82,96.59,85.53,162.91
160.71,119.07,81.86,167.51
165.76,132.48,78.26,169.25
167.65,138.72,74.34,171.15
165.37,135.86,68.79,173.14
145.34,109.29,66.06,178.13
130.93,98.7,61.46,173.47
122.69,94.61,59.76,167.3
124.21,97.03,60.84,167.44
119.53,98.8,61.23,161.78
117.67,102.16,64.17,157.51
119.72,107.59,68.25,155.9
121.57,111.84,71.28,154.74
120.96,116.14,75.02,151.94
124.32,118.81,76.08,154.16
127.38,124.48,80.18,154.6
131.71,129.05,83.53,156.77
131.93,129.87,87.14,156.05
130.79,129.96,89.34,154.41
133.0,131.26,90.4,155.91
133.81,131.64,89.27,156.41
133.62,133.73,89.22,155.67
131.7,131.27,88.46,155.16
131.14,127.94,87.67,156.26
130.33,124.87,88.26,156.88
129.01,121.02,89.29,157.0
125.78,118.68,88.47,154.59
126.79,114.45,88.57,158.18
127.15,112.79,86.43,159.92
129.51,115.47,84.9,161.46
131.57,115.38,80.6,165.08
133.67,116.62,87.25,167.21
138.86,121.11,91.27,170.99
143.49,128.13,102.01,172.41
147.61,136.56,106.92,172.06
155.46,143.51,109.47,175.87
161.22,151.28,107.65,176.95
168.94,157.35,110.23,179.01
176.54,164.46,112.27,175.49
178.65,163.83,114.4,173.04
175.2,166.94,121.53,168.46
171.0,169.98,127.47,165.84
164.35,177.02,126.42,162.83
165.3,177.49,123.08,164.02
165.39,178.45,122.08,164.61
167.93,176.21,122.94,166.03
167.42,177.18,126.2,166.02
165.88,178.11,123.66,164.97
163.86,178.41,124.92,163.12
164.87,177.15,123.46,163.59
