Hip,Knee,Ankle,Body
166.93,176.24,160.08,168.84
167.58,179.42,166.78,167.28
167.38,179.1,169.41,166.92
167.22,175.5,174.17,164.93
166.76,174.83,170.7,164.17
164.03,176.41,167.7,162.31
163.57,178.4,170.22,162.8
159.39,170.99,179.68,163.35
158.47,169.05,173.04,163.48
157.94,163.86,160.19,165.2
157.33,162.54,164.18,165.37
159.06,164.79,167.64,166.07
159.83,166.01,170.16,166.26
161.35,166.34,177.65,167.47
162.08,167.13,175.06,167.78
162.37,167.33,178.47,167.81
162.57,167.8,178.97,167.93
162.12,163.33,169.4,169.44
162.04,162.1,167.37,169.69
160.23,156.45,158.64,170.32
159.84,154.05,155.43,171.17
158.04,147.33,149.7,172.18
157.68,145.85,146.73,172.69
156.91,143.2,136.95,174.07
157.24,142.69,133.18,174.4
159.43,148.06,130.45,174.57
160.37,150.27,132.45,174.71
164.17,157.41,136.83,175.57
166.12,160.33,139.07,176.1
168.5,167.33,148.93,175.04
168.83,169.68,154.1,174.12
168.16,174.52,167.93,170.92
168.03,175.75,172.66,170.18
167.66,177.22,177.83,168.99
167.72,177.12,177.33,169.08
166.21,175.04,177.66,168.43
164.43,173.75,177.8,167.27
160.85,167.08,167.87,166.67
159.75,165.57,162.25,166.35
161.94,165.85,164.46,168.38
162.27,166.17,167.56,168.61
163.78,167.14,172.68,169.7
163.98,166.92,175.25,170.03
163.67,168.0,178.85,169.23
163.67,168.09,178.81,169.22
163.56,170.34,177.3,168.16
162.54,171.27,174.99,166.73
163.36,172.7,171.16,166.84
164.02,174.75,168.6,166.49
162.3,169.22,177.8,167.11
162.44,166.24,174.87,168.58
161.77,161.3,164.3,169.73
161.68,159.83,162.26,170.09
162.52,154.45,142.35,173.35
163.05,153.01,136.4,174.49
162.44,153.56,134.3,174.64
162.15,153.58,133.59,174.61
163.28,156.99,136.86,174.06
163.91,158.84,138.82,173.88
167.08,168.7,147.53,172.77
167.96,170.36,151.98,172.81
168.8,175.03,154.93,171.4
168.33,176.25,159.79,170.27
167.26,176.68,163.3,168.91
167.01,177.46,165.88,168.26
166.7,176.97,162.93,168.15
166.3,176.84,160.92,167.82
166.38,174.86,154.83,168.62
166.26,174.76,157.35,168.59
163.84,173.38,153.66,166.95
162.65,172.78,151.97,166.03
170.07,172.89,155.97,173.41
170.91,172.83,156.98,174.32
170.1,172.27,156.78,173.74
169.1,171.66,150.05,172.96
169.12,172.99,160.72,172.37
168.74,173.12,164.36,171.94
168.72,171.55,167.93,172.24
168.44,170.65,169.47,172.17
165.74,165.53,166.21,172.23
164.49,162.57,163.07,172.3
164.03,157.32,156.61,173.69
164.69,156.39,153.54,174.86
164.91,151.24,139.04,177.47
166.22,151.37,137.61,178.78
166.88,153.57,127.58,179.03
167.36,154.42,125.05,179.19
168.75,159.41,134.11,178.31
169.46,162.41,140.32,177.72
169.26,170.17,158.65,174.3
169.37,172.05,163.01,173.45
169.17,175.81,169.45,171.34
168.89,176.89,173.07,170.49
168.47,177.37,176.51,169.76
168.44,178.46,177.76,169.21
167.72,178.2,175.9,168.57
167.02,177.63,177.64,168.15
163.52,170.9,176.29,167.63
161.28,168.55,173.11,166.56
161.31,167.19,172.31,167.39
161.07,165.14,166.62,168.11
160.25,164.51,169.27,167.57
159.84,163.94,169.05,167.47
161.46,165.76,169.62,168.18
