left_wrist torque_torque
Time - s,Torque - Nm [magnitude t1 ax1 t2 ax2 t3 ax3]
0,0.14413,-0.12346,-0.84557,-0.41128,0.34039,0.074363,-0.1656,0.8082,0.56515,-1.3878e-17,-0.50754,0.4215,-0.75149
0.1,0.46684,-0.077263,-0.84025,-0.36275,0.40297,0.20278,-0.05054,0.79239,0.60791,0.41334,-0.53983,0.49044,-0.68414
0.2,0.58559,-0.53743,-0.85196,-0.31703,0.41672,0.026801,0.047934,0.74531,0.665,0.231,-0.52141,0.58653,-0.61977
0.3,0.9946,-0.50326,-0.86673,-0.28089,0.41216,0.11468,0.074199,0.74454,0.66344,0.85018,-0.49323,0.60561,-0.62447
0.4,0.2561,-0.13568,-0.89394,-0.26346,0.36258,0.020027,0.021796,0.78247,0.62231,0.21628,-0.44766,0.56421,-0.69374
0.5,0.70497,-0.68762,-0.91312,-0.28746,0.28909,0.15536,-0.074159,0.81439,0.57556,0.0039193,-0.40088,0.50411,-0.76496
0.6,2.1888,0.41224,-0.93128,-0.31024,0.19096,-1.1283,-0.19965,0.8731,0.4448,-1.8297,-0.30472,0.37611,-0.87504
0.7,2.7184,-1.5347,-0.93836,-0.2606,0.22708,1.5076,-0.17778,0.92726,0.32952,1.6618,-0.29643,0.26884,-0.91643
0.8,1.1835,0.02913,-0.89881,-0.42812,0.094053,1.179,-0.43503,0.89755,-0.071771,-0.099061,-0.053691,-0.10542,-0.99298
0.9,1.0865,0.62592,-0.63008,-0.76782,-0.11597,-0.82781,-0.65539,0.60592,-0.45091,0.32156,0.41649,-0.2081,-0.885
1,0.55292,-0.36643,-0.39643,-0.91377,0.088668,0.0098978,-0.76128,0.27321,-0.58806,-0.41394,0.51313,-0.30062,-0.80394
1.1,3.0711,2.2304,-0.44713,-0.8426,0.30015,0.0019262,-0.74718,0.16738,-0.6432,-2.1112,0.49172,-0.51186,-0.70442
1.2,0.40093,0.38531,-0.70275,-0.5161,0.48967,-0.11083,-0.70794,0.43914,-0.55316,-0.00059152,0.070448,-0.73539,-0.67397
1.3,0.75881,0.24468,-0.65699,-0.086975,0.74887,0.62221,-0.54369,0.7428,-0.39071,-0.35886,-0.52228,-0.66384,-0.5353
1.4,2.0918,0.13795,-0.49381,0.070222,0.86673,2.0867,-0.14634,0.97581,-0.16243,-0.047745,-0.85717,-0.20705,-0.47159
1.5,2.277,-1.7837,-0.63383,0.029232,0.77292,1.1454,0.25393,0.95176,0.17224,0.83133,-0.7306,0.30544,-0.61068
1.6,4.2912,-1.4795,-0.84262,0.052279,0.53596,2.5014,0.2564,0.91417,0.31394,3.1572,-0.47355,0.40195,-0.7837
1.7,2.4264,-0.45307,-0.99981,-0.019328,0.0022722,-2.2956,-0.018189,0.9696,0.24402,-0.64214,-0.0069193,0.24393,-0.96977
1.8,2.0826,-1.7768,-0.77976,-0.60648,-0.15544,-0.78655,-0.6037,0.79413,-0.069999,-0.74922,0.16589,0.039255,-0.98536
1.9,3.7285,3.5778,-0.57504,-0.80609,0.13983,0.60904,-0.76418,0.46818,-0.44366,-0.8544,0.29216,-0.36198,-0.88522
2,0.93755,0.8084,-0.59385,-0.60011,0.53592,-0.41772,-0.76983,0.61744,-0.16164,0.22583,-0.2339,-0.50856,-0.82865
2.1,2.5486,-0.18015,-0.3923,-0.23864,0.88834,2.4372,-0.32499,0.93943,0.10884,0.723,-0.86051,-0.24601,-0.44609
2.2,4.365,-0.78663,-0.48996,0.0022966,0.87174,2.9337,0.26498,0.95307,0.14642,3.1349,-0.83049,0.30274,-0.46758
2.3,5.9915,-3.617,-0.85878,0.14798,0.49052,2.055,0.37665,0.83137,0.4086,4.3119,-0.34733,0.53565,-0.7697
2.4,5.8222,0.55124,-0.96515,-0.2413,-0.10133,-5.1241,-0.25861,0.93876,0.22773,-2.7089,0.04017,0.24599,-0.96844
2.5,1.7686,1.653,-0.68387,-0.70415,0.19102,-0.60164,-0.71109,0.70188,0.041547,-0.18371,-0.16332,-0.10742,-0.98071
2.6,0.83267,0.29888,-0.4078,-0.4913,0.76963,-0.072644,-0.55877,0.80092,0.2152,-0.77378,-0.72214,-0.34228,-0.60113
2.7,5.0385,-0.7668,-0.19681,-0.15025,0.96886,4.2846,-0.091465,0.98669,0.13443,2.5379,-0.97617,-0.062158,-0.20794
2.8,6.0308,-2.0547,-0.67874,-0.11503,0.72531,3.171,0.21908,0.91097,0.34949,4.7003,-0.70094,0.39611,-0.59311
2.9,3.6528,-1.396,-0.97734,0.21111,-0.015318,-3.03,0.18293,0.87882,0.44069,-1.4877,0.1065,0.4279,-0.89753
3,5.0259,4.3979,-0.73164,-0.67946,0.055216,-1.631,-0.68124,0.7317,-0.022917,-1.8049,-0.02483,-0.054383,-0.99821
3.1,3.8374,-3.0368,-0.38767,-0.5739,0.72136,2.192,-0.56043,0.76805,0.30986,0.83556,-0.73187,-0.28414,-0.61938
3.2,6.5938,3.0439,-0.31148,-0.30771,0.89905,5.6697,-0.32749,0.92292,0.20241,1.438,-0.89203,-0.23138,-0.38825
3.3,6.7155,-5.0353,-0.87558,-0.15585,0.45724,0.93656,0.12108,0.84551,0.52005,4.3436,-0.46765,0.51071,-0.72144
3.4,3.4449,0.90814,-0.99858,-0.0033256,-0.053161,-2.6127,-0.027207,0.88988,0.45538,-2.0533,0.045793,0.45618,-0.88871
3.5,2.7412,0.72959,-0.8448,-0.52732,0.090821,-1.8755,-0.48366,0.82514,0.29193,-1.8613,-0.22888,0.20269,-0.95212
3.6,2.1284,-1.8887,-0.53762,-0.58537,0.60688,0.79436,-0.47399,0.80507,0.35664,0.57578,-0.69734,-0.095919,-0.71029
3.7,6.1483,2.3012,-0.43668,-0.45146,0.77814,5.6471,-0.45826,0.85596,0.23944,0.78457,-0.77415,-0.25203,-0.58066
3.8,4.364,-3.8918,-0.89131,-0.34923,0.28913,-0.04517,-0.25518,0.91353,0.31676,1.9739,-0.37475,0.20855,-0.90336
3.9,2.865,2.0599,-0.8744,-0.48496,-0.01555,-1.7112,-0.48463,0.87137,0.076494,-1.0183,-0.023546,0.074423,-0.99695
4,3.3648,-1.9294,-0.72628,-0.66681,0.16701,-2.7567,-0.66372,0.74346,0.082036,0.017687,-0.17887,-0.051267,-0.98254
4.1,6.2445,3.1921,-0.4054,-0.56921,0.7153,5.1768,-0.7566,0.64808,0.086904,-1.4158,-0.51303,-0.50596,-0.69339
4.2,4.1752,-2.9063,-0.6825,-0.41351,0.60266,2.4361,-0.3438,0.90928,0.23454,1.7467,-0.64498,-0.047118,-0.76275
4.3,1.3105,-0.96208,-0.90333,-0.37803,0.20268,-0.88838,-0.33609,0.91739,0.21316,-0.052171,-0.26652,0.12444,-0.95576
4.4,2.9587,2.0469,-0.81095,-0.58415,0.033647,-2.0487,-0.5815,0.81099,0.064443,-0.60613,-0.064931,0.032694,-0.99735
4.5,2.6651,-2.4565,-0.59743,-0.69601,0.3983,-1.0252,-0.63026,0.71463,0.30343,-0.13217,-0.49583,-0.06976,-0.86561
4.6,6.6132,2.5391,-0.35514,-0.53521,0.76644,6.1016,-0.60041,0.75901,0.25182,0.24038,-0.71651,-0.37074,-0.5909
4.7,4.0342,-3.1856,-0.84629,-0.41294,0.33656,1.0669,-0.29963,0.89134,0.34021,2.2335,-0.44048,0.18707,-0.87806
4.8,3.6911,0.32947,-0.93936,-0.32104,-0.12054,-3.2644,-0.34147,0.90804,0.2426,-1.6909,0.031571,0.26905,-0.96261
4.9,1.353,0.48894,-0.77053,-0.63579,0.04529,-1.2106,-0.62388,0.76684,0.15077,-0.35509,-0.13059,0.08792,-0.98753
5,1.2571,-0.38785,-0.53253,-0.64033,0.55352,1.148,-0.61112,0.74334,0.27199,-0.33472,-0.58562,-0.19342,-0.78717
5.1,4.4195,0.41018,-0.60639,-0.4389,0.66307,4.1765,-0.3959,0.88981,0.22693,1.3859,-0.68961,-0.1249,-0.71333
5.2,2.2739,-2.1939,-0.9282,-0.30679,0.21052,-0.40208,-0.23605,0.9229,0.30419,0.44238,-0.28762,0.23266,-0.92906
5.3,2.6492,1.2934,-0.90233,-0.42433,-0.075756,-2.0824,-0.43096,0.88485,0.17694,-1.0044,-0.0080499,0.19231,-0.9813
5.4,2.8551,-1.6383,-0.71932,-0.67248,0.17423,-2.3185,-0.64012,0.73907,0.20984,-0.30364,-0.26989,0.039412,-0.96209
5.5,7.1425,2.7578,-0.34914,-0.60104,0.71892,6.5149,-0.6944,0.6811,0.23219,-0.9831,-0.62921,-0.41816,-0.65516
5.6,4.0081,-2.9068,-0.79539,-0.40066,0.45478,1.7407,-0.27127,0.90632,0.32404,2.1413,-0.542,0.13437,-0.82956
5.7,2.4877,-0.6028,-0.9654,-0.25892,-0.031008,-2.204,-0.25607,0.91877,0.30049,-0.98357,-0.049315,0.29804,-0.95328
5.8,1.4965,0.44004,-0.77848,-0.62726,-0.022738,-1.3362,-0.6253,0.77189,0.11483,-0.5104,-0.054479,0.10361,-0.99312
5.9,1.0126,0.26028,-0.57816,-0.70023,0.41881,-0.70401,-0.71881,0.68,0.14461,-0.67972,-0.38605,-0.21743,-0.89648
6,6.7288,0.80236,-0.43639,-0.50545,0.74437,6.665,-0.56804,0.79635,0.20773,0.45922,-0.69778,-0.33218,-0.63463
6.1,2.9737,-2.8102,-0.92012,-0.30224,0.24905,-0.46796,-0.22442,0.92808,0.29715,0.85254,-0.32095,0.21752,-0.92178
6.2,2.0116,0.50732,-0.87819,-0.47044,-0.086377,-1.8426,-0.4783,0.86241,0.16577,-0.62753,-0.0034949,0.18689,-0.98237
6.3,2.4224,-0.032457,-0.69233,-0.70955,0.13124,-2.4115,-0.71104,0.70181,0.043445,-0.2267,-0.12293,-0.063239,-0.9904
6.4,4.807,1.4894,-0.39435,-0.59733,0.69834,4.4326,-0.74121,0.65597,0.14252,-1.1138,-0.54322,-0.46142,-0.70143
6.5,4.3362,-0.60816,-0.69277,-0.35882,0.62556,4.0232,-0.33786,0.92783,0.15805,1.4986,-0.63712,-0.10186,-0.764
6.6,3.721,-2.5774,-0.98274,-0.18262,0.029663,-2.4167,-0.16311,0.93084,0.32702,-1.1672,-0.087332,0.31654,-0.94455
6.7,1.3196,0.95494,-0.76572,-0.6427,-0.024563,-0.77888,-0.64261,0.76289,0.071086,-0.47194,-0.026948,0.070217,-0.99717
6.8,1.5175,0.59642,-0.59306,-0.73186,0.33563,-1.3336,-0.76608,0.6412,0.044513,-0.41042,-0.24779,-0.23072,-0.94094
6.9,5.6385,1.0244,-0.43709,-0.47167,0.76582,5.5421,-0.59072,0.79262,0.15102,-0.16907,-0.67823,-0.38637,-0.62507
7,4.2954,-2.8309,-0.85361,-0.23572,0.46452,2.3807,-0.15814,0.96694,0.20007,2.1836,-0.49632,0.097319,-0.86267
7.1,4.1184,-0.62022,-0.93899,-0.33234,-0.088605,-3.8321,-0.34267,0.92611,0.15779,-1.3754,0.029619,0.17852,-0.98349
7.2,0.92571,0.63284,-0.70666,-0.70678,-0.032936,-0.66989,-0.70431,0.70711,-0.06277,-0.087791,0.067654,-0.021161,-0.99748
7.3,0.99033,0.31318,-0.57467,-0.7143,0.39942,-0.88083,-0.77324,0.63377,0.020911,-0.32683,-0.26808,-0.29683,-0.91653
7.4,6.8676,1.0971,-0.46274,-0.44553,0.76641,6.7671,-0.57797,0.80715,0.12024,-0.40753,-0.67218,-0.38732,-0.631
7.5,3.5641,-3.1813,-0.93552,-0.21266,0.28209,0.28805,-0.14088,0.95685,0.25414,1.5809,-0.32396,0.19802,-0.92511
7.6,3.1539,-0.0010354,-0.87472,-0.47844,-0.077211,-2.8292,-0.48436,0.85774,0.17229,-1.3938,-0.016204,0.18811,-0.98202
7.7,1.8408,0.26427,-0.67414,-0.72238,0.15396,-1.7995,-0.72819,0.68491,0.025145,-0.28378,-0.12361,-0.095157,-0.98776
7.8,3.7736,1.5262,-0.43906,-0.56266,0.70046,3.4099,-0.69975,0.70315,0.1262,-0.53245,-0.56354,-0.43473,-0.70245
7.9,4.7112,-0.51926,-0.6358,-0.32839,0.69851,4.3425,-0.29314,0.93991,0.17505,1.7517,-0.71402,-0.093464,-0.69386
8,3.1563,-2.9507,-0.9837,-0.11836,0.13533,-1.0409,-0.062546,0.931,0.35962,-0.41455,-0.16856,0.3453,-0.92323
8.1,1.796,1.1511,-0.83741,-0.54113,-0.076904,-1.2131,-0.54643,0.83209,0.095099,-0.65481,0.01253,0.12166,-0.99249
8.2,1.753,0.060903,-0.67891,-0.71134,0.18184,-1.7385,-0.72092,0.69277,0.018475,-0.21634,-0.13912,-0.11855,-0.98315
8.3,4.5978,1.5132,-0.49133,-0.57811,0.65144,4.3184,-0.6696,0.72903,0.14195,-0.4485,-0.55699,-0.36646,-0.7453
8.4,4.8129,-2.2624,-0.76749,-0.40182,0.49949,3.4225,-0.30695,0.91439,0.26395,2.5164,-0.56279,0.04926,-0.82513
8.5,3.8384,-1.3934,-0.95569,-0.29168,-0.039651,-3.1635,-0.29082,0.91474,0.28048,-1.6685,-0.045542,0.27958,-0.95904
8.6,1.1439,0.79142,-0.77324,-0.63352,-0.0272,-0.66147,-0.63395,0.77139,0.055408,-0.49465,-0.01412,0.060087,-0.99809
8.7,1.4411,0.68817,-0.62779,-0.70463,0.33071,-1.1346,-0.72391,0.68468,0.084611,-0.56209,-0.28605,-0.18629,-0.93993
8.8,4.8561,0.71265,-0.54211,-0.4525,0.70807,4.6831,-0.47252,0.86094,0.18843,1.0691,-0.69487,-0.23243,-0.68054
8.9,3.8214,-2.4206,-0.87175,-0.23068,0.43224,1.7486,-0.10142,0.94808,0.30143,2.3846,-0.47933,0.21893,-0.84989
9,3.5466,-0.84784,-0.92434,-0.38158,-0.00034431,-2.8486,-0.36647,0.88747,0.27945,-1.9351,-0.10633,0.25843,-0.96016
9.1,1.6673,1.2068,-0.72781,-0.67806,0.10265,-1.0709,-0.67482,0.73476,0.068843,-0.42032,-0.1221,-0.019168,-0.99233
9.2,1.2772,0.38283,-0.59298,-0.62727,0.50488,1.1807,-0.65214,0.74191,0.15582,-0.30087,-0.47232,-0.23686,-0.84901
9.3,4.6838,0.40761,-0.65182,-0.45317,0.60809,4.4017,-0.41909,0.88351,0.20921,1.5482,-0.63206,-0.11848,-0.76581
9.4,3.2402,-2.8056,-0.95759,-0.26128,0.12146,-1.5039,-0.2057,0.9151,0.34681,-0.60483,-0.20176,0.30712,-0.93004
9.5,1.6184,0.36325,-0.79015,-0.61178,-0.037271,-1.4783,-0.61144,0.78257,0.11716,-0.54945,-0.042511,0.11537,-0.99241
9.6,2.0965,2.022,-0.64923,-0.71327,0.26409,-0.27062,-0.74389,0.66783,-0.025026,-0.48349,-0.15852,-0.2127,-0.96417
9.7,3.3288,0.54614,-0.59743,-0.50481,0.62309,3.2444,-0.52878,0.83213,0.16717,0.50592,-0.60288,-0.22961,-0.76408
9.8,4.9364,-2.2044,-0.83877,-0.30355,0.45202,3.0536,-0.17196,0.93537,0.30905,3.1913,-0.51662,0.18149,-0.83676
9.9,4.056,-0.96128,-0.93009,-0.35191,-0.10533,-3.148,-0.36673,0.87316,0.32109,-2.3701,-0.021024,0.33727,-0.94117
10,0.85578,0.036593,-0.74083,-0.66743,-0.075555,-0.8374,-0.6717,0.73603,0.084189,-0.17256,-0.00058052,0.11312,-0.99358
10.1,0.974273,0.705556,-0.607003,-0.720113,0.336131,0.0644796,-0.763212,0.646121,0.00597547,-0.668761,-0.221484,-0.252912,-0.941796
10.2,4.73384,1.923,-0.644229,-0.453185,0.616111,4.3256,-0.561403,0.827264,0.0214755,-0.0221322,-0.519419,-0.332051,-0.787366
10.3,3.68757,-3.31338,-0.911431,-0.301026,0.280495,0.795962,-0.234262,0.94009,0.247695,1.4093,-0.338253,0.160047,-0.927345
10.4,2.58735,0.265866,-0.849682,-0.516464,-0.106325,-2.45419,-0.524937,0.847555,0.0780427,-0.775001,0.0498099,0.122125,-0.991264
10.5,2.37949,-0.379534,-0.650502,-0.755228,0.0804784,-2.304,-0.757324,0.636959,-0.144029,0.45774,0.0575132,-0.154639,-0.986296
10.6,6.06381,4.11697,-0.460902,-0.606588,0.647781,3.9844,-0.828026,0.556553,-0.0679865,-1.98619,-0.319285,-0.567714,-0.758787
10.7,4.06444,-2.22739,-0.714212,-0.341875,0.610756,3.13269,-0.358038,0.928239,0.100903,1.32087,-0.601424,-0.146608,-0.785363
10.8,2.90665,-0.686751,-0.933205,-0.351466,0.0748304,-2.65234,-0.327218,0.917211,0.227272,-0.970602,-0.148514,0.187606,-0.970952
10.9,2.24672,-2.13433,-0.736949,-0.671993,-0.0730139,-0.636136,-0.673406,0.720524,0.165438,-0.296187,-0.0585649,0.171087,-0.983514
11,4.5122,4.4673,-0.634543,-0.767723,0.0891945,-0.58005,-0.767787,0.612908,-0.186676,-0.258204,0.0886478,-0.186937,-0.978364
11.1,3.71862,-2.72113,-0.537678,-0.568012,0.623109,2.51969,-0.628281,0.762759,0.153174,0.273364,-0.562287,-0.309129,-0.766989
11.2,4.37399,2.08534,-0.650337,-0.352165,0.673084,3.81885,-0.436867,0.898251,0.0478712,0.44672,-0.621457,-0.262916,-0.738015
11.3,3.15403,-2.96699,-0.881245,-0.429834,0.196597,-1.03017,-0.368865,0.885489,0.282574,0.289231,-0.295544,0.176499,-0.938883
11.4,2.75197,0.309118,-0.764412,-0.644727,0.00129433,-2.57057,-0.639768,0.758778,0.12228,-0.932732,-0.0798196,0.0926445,-0.992495
11.5,1.98896,1.90647,-0.654911,-0.676058,0.337693,0.0748541,-0.713263,0.700629,0.0193724,-0.561895,-0.249694,-0.228176,-0.941057
